Input_trt,Agroforestry_trt,Block,Sampling Rep,CEC,pH,SOM,S.NO3.N,S.NH4,S.S,S.P,S.Ca,S.Mg,S.K,S.Na,S.B,S.Fe,S.Mn,S.Cu,S.Zn,S.Al,L.N,L.P,L.Mg,L.K,L.Ca,L.S,L.B,L.Fe,L.Mn,L.Cu,L.Zn,L.Al,Y-2019
BO,Forestal,II,1,21.25,5.3,9.07,40.9,15.8,15,22,1836,199,477,21,0,138,104,5.15,4.99,999,2.6,0.208,0.109,2,0.89,0.145,53.1,61.2,60.6,15.6,4.3,19,0.265
BO,Forestal,II,2,15.43,5.2,8.64,35.8,16.4,13,11,1248,156,275,20,0,117,147,4.06,3.02,1041,2.28,0.379,0.178,2.11,0.95,0.153,40.6,37.2,79.9,20.3,7.6,14.2,0.265
BO,Forestal,III,1,19.62,5.1,9.07,27,19.9,14,15,1560,184,208,23,0.2,157,191,4.64,4.69,1092,2.14,0.303,0.176,1.87,1.25,0.171,52.6,42.4,106,23.1,4.9,19.8,0.348
BO,Forestal,III,2,16.55,5.3,8.85,1.2,15.9,14,15,1459,146,336,21,0,148,195,4.44,3.3,1079,1.92,0.184,0.189,2.22,1.11,0.139,59.7,49.3,121,10.1,5,17.2,0.348
BO,Frutal,I,1,15.77,5.1,9.97,23.6,17.4,14,21,1210,115,358,19,0.24,102,130,3.46,2.45,1066,1.91,0.155,0.102,1.84,0.83,0.143,53.1,60,83.3,16.8,4.2,24.8,0.074
BO,Frutal,I,2,12.58,5,9.78,19.6,16.5,17,21,857,88,344,20,0.21,87,93,2.53,1.58,1055,2.42,0.095,0.107,1.76,1,0.132,45,35.2,60.6,9.7,3.9,22.6,0.074
BO,Frutal,II,1,19.13,5.3,9.16,38.5,13.6,11,27,1768,161,260,21,0,138,138,4.4,4.91,943,2.77,0.149,0.201,1.83,1.31,0.145,49.8,49,39.5,15,4.7,22.9,0.315
BO,Frutal,II,2,21.33,5.3,9.42,40.6,15.6,13,29,1932,189,345,19,0.22,163,186,5.28,5.82,1012,3.3,0.138,0.137,1.63,1.03,0.15,42.3,41.8,94.5,11.3,5.5,17.8,0.315
BO,Frutal,III,1,15.59,5.5,9.76,26.3,18.9,12,20,1514,131,454,20,0.34,120,112,3.81,2.79,1084,2.57,0.301,0.157,2.02,0.95,0.146,39.4,42.7,63.1,18,5,18.2,0.309
BO,Frutal,III,2,19.2,5.3,10.42,44.1,19.5,14,30,1501,206,655,19,0.33,118,119,4.37,3.56,1031,2.85,0.243,0.152,1.93,0.91,0.142,40.9,44.4,60,17.3,4.7,12.7,0.309
BO,Pleno sol,I,1,12.73,4.7,8.66,40.3,16.1,21,22,588,110,504,16,0,118,116,2.72,1.52,1194,2.27,0.323,0.134,1.65,0.9,0.162,33.3,28.5,63.2,21.8,10.5,14.8,0.16
BO,Pleno sol,I,2,10.6,4.4,8.62,31.1,10.9,25,16,438,68,318,17,0,112,83,1.78,1.36,1465,2.68,0.327,0.139,1.73,0.79,0.133,30.6,33.2,55,19.7,4.3,8.1,0.16
BO,Pleno sol,II,1,17.03,5.6,9.11,20,16.8,12,25,1816,167,313,23,0,141,120,4.42,5.45,1021,2.45,0.113,0.115,1.72,0.83,0.14,36.5,44.6,45.5,10.2,3.7,19.7,0.259
BO,Pleno sol,II,2,18.21,5.4,9.48,28.9,18,15,18,1631,200,427,19,0.58,143,155,5.1,6.42,1029,2.33,0.112,0.106,1.87,0.8,0.129,24,40,81.9,6.2,4,20.7,0.259
BO,Pleno sol,III,1,20.99,5.6,9.9,27.9,18.9,13,16,2317,182,321,22,0.32,138,141,5.24,6.5,982,2.11,0.104,0.151,1.74,0.97,0.173,36,48.4,73.6,7.5,3.9,27.5,0.356
BO,Pleno sol,III,2,18.52,5.3,9.55,34.1,20.7,14,17,1559,178,481,19,0.2,137,166,4.48,4.4,995,1.85,0.167,0.147,1.69,0.84,0.114,38.4,33.7,66.5,14.1,4.2,13,0.356
BO,Servicio,I,1,17.4,4.9,9.64,28.7,12.8,14,37,1247,100,292,19,0.22,138,129,3.42,2.73,1205,2.42,0.391,0.158,1.98,1.02,0.133,45,36.9,72.4,18.4,4.5,17.3,0.125
BO,Servicio,I,2,13.81,5.4,9.62,21,14.5,10,38,1103,130,651,17,0,96,116,3.48,3.27,862,1.94,0.137,0.189,1.68,1.15,0.144,70.3,49.4,137,10.2,4.9,23.4,0.125
BO,Servicio,II,1,18.24,5.3,9.87,26.6,16.2,13,18,1539,185,433,20,0,120,97,5.81,5.49,1149,2.13,0.198,0.128,1.82,0.76,0.133,44.5,36.8,75.3,11.9,4.9,22.3,0.342
BO,Servicio,II,2,18.41,5.8,9.17,17.2,18.3,14,14,2074,217,473,20,0.21,122,160,5.52,5.43,1028,3.02,0.16,0.138,1.93,0.87,0.151,37.5,50.6,31.4,13.3,4.2,24.5,0.342
BO,Servicio,III,1,16.83,5.2,8.42,38.6,12.7,10,33,1359,133,423,23,0,152,38,3.67,3.96,1063,2.93,0.17,0.084,1.93,0.81,0.137,30.6,85.5,34.4,12.2,4.4,116,0.986
BO,Servicio,III,2,18.09,5.1,7.81,37.3,10.5,11,39,1512,123,184,30,0.8,187,63,3.56,2.98,1109,2.69,0.179,0.141,2,0.93,0.149,38.5,41.1,43,15.1,4.7,23.8,0.986
MC,Forestal,I,1,22.22,5.5,11.87,33.6,19.2,16,17,2391,186,211,20,0.37,113,131,4.98,4.87,921,2.59,0.2,0.143,2.28,0.85,0.161,41.2,55.1,78.6,16.1,5.8,21,0.736
MC,Forestal,I,2,18.04,5.4,9.75,22.2,16.4,13,23,1778,146,277,18,0.23,108,130,3.48,3.19,906,2.5,0.345,0.19,1.93,1.19,0.153,48.7,42.7,91.8,22.6,6.6,21.4,0.736
MC,Forestal,II,1,19.65,5.2,10.2,26,16.4,14,51,1519,195,511,19,0,142,103,3.85,3.8,1070,2.73,0.158,0.109,1.98,0.78,0.141,32.7,40.5,50.5,12.2,6.3,16.9,0.887
MC,Forestal,II,2,20.85,5.4,8.84,42.9,11.8,10,44,2223,123,140,22,0,139,73,4.01,4.71,1002,2.17,0.14,0.12,1.81,0.86,0.136,34.7,38.8,32,14.7,4.8,23,0.887
MC,Forestal,III,1,18.32,5.3,9.27,16.7,19.2,11,12,1710,136,277,19,0.21,115,149,3.68,2.23,1053,2.56,0.141,0.144,1.59,0.96,0.12,34.7,27.9,61.5,12.6,5,9.9,0.974
MC,Forestal,III,2,16.14,4.7,10.94,25.7,20.2,17,23,1020,93,257,19,0.2,124,140,3.21,1.97,1274,2.59,0.144,0.132,2.19,0.91,0.144,39.7,38.5,133,9.8,5,17.5,0.974
MC,Frutal,I,1,17.57,5.3,9.33,29.8,19.7,13,18,1539,178,303,22,0.26,111,144,3.77,2.69,1022,2.67,0.207,0.13,2.12,0.97,0.136,30.1,40.8,103,13.9,6.3,17.5,0.174
MC,Frutal,I,2,16.28,5.3,8.65,17.1,16.1,12,22,1356,195,319,20,0.23,125,128,3.53,2.67,1070,2.59,0.14,0.113,1.94,0.71,0.144,24,32.7,55.5,15.3,7.1,11.8,0.174
MC,Frutal,II,1,16.32,5.4,8.65,23.2,15.7,10,13,1551,173,221,22,0.59,130,147,3.85,2.51,1021,2.89,0.111,0.176,1.78,1.2,0.172,34.1,38.1,73.5,9.5,4.4,33.2,0.377
MC,Frutal,II,2,19.74,5,9.12,45.9,14.9,12,13,1469,177,190,21,0.5,145,178,4.04,3.62,1069,2.52,0.113,0.136,1.72,1.07,0.13,29,32.8,64.1,9.4,5.3,16.7,0.377
MC,Frutal,III,1,15.35,5.4,9,20.4,14.6,11,21,1463,123,332,18,0,114,146,3.42,2.08,1047,2.72,0.144,0.12,2.01,0.96,0.146,28.4,44.2,72.3,11.2,4.5,26.4,0.815
MC,Frutal,III,2,19.38,5.2,9.87,46.4,14.3,10,24,1634,139,412,19,0.23,127,128,3.8,2.45,1030,2.88,0.164,0.12,2.14,0.95,0.151,31.7,41.8,64.2,11.9,5.8,28,0.815
MC,Pleno sol,I,1,13.85,4.9,7.93,31.6,16,17,12,816,131,401,20,0,94,87,2.59,1.6,1003,2.48,0.126,0.1,1.74,0.67,0.118,24.4,33.2,37,10.3,4,12.9,0.518
MC,Pleno sol,I,2,14.86,4.6,10.33,25,17.2,17,21,868,88,239,18,0,123,152,2.89,2.39,1123,2.81,0.151,0.112,1.97,1.05,0.159,39.8,35.7,58.1,9.1,4.6,13.5,0.518
MC,Pleno sol,II,1,13.75,5.2,8.68,25.1,17.6,11,16,1101,120,329,18,0,100,64,2.78,2.44,891,2.63,0.131,0.099,1.91,0.82,0.13,30.1,33.5,80,8.1,4.5,13.6,0.89
MC,Pleno sol,II,2,14.64,5.3,7.97,24.4,14.9,12,17,1193,154,409,18,0.23,117,93,3.86,3.09,1036,2.77,0.133,0.089,1.46,0.77,0.138,35.3,43.1,52.1,14,4.2,12.3,0.89
MC,Pleno sol,III,1,18.66,5.2,8.98,28.8,14.8,13,20,1482,176,432,21,0,108,146,3.62,2.38,1043,2.83,0.154,0.118,1.92,0.83,0.141,32.9,37,77.5,11.8,4.9,15.6,1.281
MC,Pleno sol,III,2,19.54,5.5,9.28,19.1,19.6,12,15,1913,190,470,17,0,120,158,4.45,2.84,1020,3.07,0.157,0.129,1.82,0.94,0.162,41.5,43.3,93,22.6,5.5,19.6,1.281
MC,Servicio,I,2,24.52,5.9,9.77,38.7,13.6,14,31,3221,155,494,16,0.39,123,128,5.71,6.12,922,2.9,0.118,0.12,1.84,0.92,0.144,41.7,42.4,63.1,9.8,5.5,22.3,0.583
MC,Servicio,I,2,18.08,5,8.44,33.3,12.6,16,22,1272,155,325,28,0.33,142,156,4.61,3.73,1110,3.05,0.12,0.121,1.91,0.78,0.138,20.4,37.9,43.2,7.1,4.2,29.7,0.583
MC,Servicio,II,1,18.32,5.4,8.55,21.3,13.4,11,20,1696,190,357,20,0,129,179,4.15,3.06,1068,2.71,0.128,0.156,1.58,0.96,0.123,33.7,28.2,105,10.5,4.2,7.8,0.813
MC,Servicio,II,2,17.26,5.2,8.58,21.3,17.9,16,13,1445,166,243,21,0,120,141,3.18,2.16,1212,3.01,0.15,0.114,2.2,0.68,0.152,29.4,42.5,59.7,12.7,5.6,20.1,0.813
MC,Servicio,III,1,22.68,5.1,9.95,44.5,12.3,12,29,1792,172,405,21,0,133,85,4.3,3.93,1035,2.91,0.203,0.126,2.07,0.76,0.127,29.4,30.2,63.8,12.2,4.6,11.5,1.624
